"Transcription","Backchannel","Pair"
"mm","1","44"
"mm","1","44"
"så bare","0","44"
"er du i india","0","44"
"mm","1","44"
"eller hva annet da? sånn med penger men det er kanskje ikke noe superkrefter","0","44"
"eh","0","44"
"men jeg tror jeg ville hatt fotografisk minne","0","44"
"ja","1","44"
"det har jeg lyst på haha det ønsker jeg meg til jul","0","44"
"mm","1","44"
"haha","1","44"
"haha","0","44"
"tenk så digg bare- du kan bare lese bøker sånn og alt går inn alt går inn åh herregud","0","44"
"ja","1","44"
"mm","1","44"
"tja jeg synes-","0","44"
"da kunne alle blitt leger liksom","0","44"
"ja jeg synes det virker slitsomt altså","0","44"
"det er sikkert annerledes men jeg tror hvis du er født med det så tror jeg du er liksom vant til det","0","44"
"mm ja","0","44"
"for det er jo noen som er det","0","44"
"jeg er vel ganske sånn klisterhjerne da jeg husker jo veldig mye bare sånn ting jeg leser liksom så husker jeg sidene i hodet","0","44"
"ja","1","44"
"jeg har ikke det","0","44"
"ja jeg er- jeg har ikke så veldig sånn jeg husker jo en del men det er sånn for meg jeg må lese mer- sånn jeg må repetere mye for å på en måte huske det mens ja noen andre har jo litt mer sånn klisterhjerne hvor man på en måte- det er lettere å huske ting","0","44"
"mm","1","44"
"mm","1","44"
"mm","1","44"
"tenk å bare huske sånn alle ansikter du har sett","0","44"
"ja","1","44"
"alt som har skjedd med livet ditt liksom","0","44"
"men du vet når du drømmer? alle de ansiktene man ser når man drømmer har du sett eller sånn det er sammensetninger av ansikter du har sett så det er sånn selv om du drømmer og tenker sånn å fy faen jeg drømte om en jævlig ekkel fyr så har du se- sånn på en eller annen måte sett han det er sykt rart","0","44"
"mm","1","44"
"jeg vet det","1","44"
"ja","1","44"
"mm","1","44"
"jaja","1","44"
"ja det er ingen drømmer som er originale på en måte xxx","0","44"
"nei","1","44"
"drømmer er sykt rart da når jeg tenker på det det er liksom sånn","0","44"
"mm","1","44"
"t- sånn ja rare ting at du skjønner liksom hvor liksom hvor høygir hjernen din er på hele tiden da selv om du sov- du sier sånn åh du har jo sovet godt","0","44"
"mm","1","44"
"mm","1","44"
"mm","1","44"
"men ja","0","44"
"tror det er derfor man sover så godt når man drømmer da fordi du fordøyer da- mm du fordøyer dagen helt liksom","0","44"
"ja fordi du bare haha du er helt borte haha","0","44"
"men tenk liksom når hvis du har vært på byen da ute og festet da ser du veldig mange ansikter men som du ikke registrerer sånn det er jo ikke sånn at du husker han når du ser han på gaten en eller annen dag men det er jo en sånn det er trekk som hjernen liksom husker på og registrerer liksom nå har jeg sett deg fordi du må liksom","0","44"
"mm","1","44"
"mm","1","44"
"mm","1","44"
"nei","1","44"
"mm","1","44"
"hele hodet liksom når du ser en ukjent person så er det sånn så registrerer jo hjernen sånn okei nå har jeg sett en person han er mann han har mørkt hår altså alle de tingene men at man tenker liksom ikke på det så det er jo ikke rart at man drømmer om masse folk egentlig","0","44"
"mm","1","44"
"mm","1","44"
"neinei","1","44"
"bare sånn går på butikken liksom ser så mange","0","44"
"ja","1","44"
"lurer på hvor mange fjes hjernen egentlig registrerer i løpet av en dag når du er ute xxx du sånn når du går til skolen når du er på skolen","0","44"
"ah da tror jeg det har noe-","0","44"
"ja","1","44"
"når du går hjem fra- altså sånn du gjør jo masse sånn ting som hvor du ik- tenker at det ikke er interaksjon men som for hjernen er det jo det på en måte","0","44"
"jeg-","0","44"
"mm","1","44"
"mm","1","44"
"men det er jo sånne ting som hva man blir tiltrukket av og sånn da at når du ser noe du blir tiltrukket av så bruker du mer energi på å huske det eller sånn når du ser en kjekk gutt så husker du det kanskje lenger enn hvis du ser en person du ikke tenker noe mer over","0","44"
"mm","1","44"
"mm","1","44"
"(sukk) nei jeg husker fortsatt hun ene jenta jeg så på treningssenteret i går haha","0","44"
"ja men det blir jo- det er jo litt sånn man husker jo noe me- bedre enn andre og det er sånn rart hvor- hvordan liksom man er så sykt forskjellige på hva man liker sånn utseendemessig og sånn","0","44"
"mm","1","44"
"mm","1","44"
"mm","1","44"
"ja det er skikkelig rart vi har snakket om det mye i sånn jeg og tarjei og jonas sånn og han jonas holder jo på med en jente som er på besøk flere ganger liksom og han bare spurte sånn etter første gangen bare sånn her ja ikke sant hun er pen og sånn og jeg bare sånn ja hun er søt hun liksom og han ble skikkelig såra liksom bare sånn her hæ synes du ikke at hun er noe fin liksom jeg bare sånn jo hun er jo sikkert det for deg men jeg synes ikke hun var så spennende","0","44"
"ja","1","44"
"ja","1","44"
"ja","1","44"
"ja","1","44"
"helt grei liksom mm","1","44"
"jaja","1","44"
"men det er jo- men det er s-","0","44"
"ja","1","44"
"og det er jo sånn også sånn- det er jo- sånn som- jeg har opplevd flere ganger at sånn det er en gutt som jeg kanskje ikke synes har vært så kjekk men så blir man kjent og man begynner kanskje å ha en liten greie og sånn også blir han ti ganger kjekkere når du blir kjent med ham sånn personligheten og det er sånn det har så mye å si så for han da så kan jo hu- han synes at hun er pen fordi det er ha- hennes- eller hans type","0","44"
"mm","1","44"
"mm","1","44"
"mm","1","44"
"mm","1","44"
"jaja","1","44"
"ja","1","44"
"men også fordi han kjenner henne på et annet nivå enn hva dere andre gjør så man blir jo liksom tiltrukket av personer","0","44"
"mm","1","44"
"ja","1","44"
"fordi han sier jo liksom at personligheten hennes er perfekt på alle måter for han liksom","0","44"
"ja","1","44"
"og da er det ikke rart at han elsker henne på en måte så for oss andre så blir det sånn jaja hun var- virket hyggelig og var pen og sånn men ikke noe mer enn det for du f- vi har jo ikke noe relasjon til henne annet enn at-","0","44"
"mm","1","44"
"xxx","0","44"
"mm","1","44"
"ja","1","44"
"jaja jeg har jo ikke henne liksom bare sånn såvidt liksom","0","44"
"nei ikke sant ja","1","44"
"xxx det er litt morsomt","0","44"
"det er rart altså","0","44"
"mm","1","44"
"hjerne og har du sett den lucie (?) filmen","0","44"
"eh ja jeg t- litt av den jeg xxx slutt haha","0","44"
"åja","1","44"
"ja det er bare sånn sykt sånn hvor lite av hjernen vår vi bruker","0","44"
"ja men det er jo men det er jo ikke sånn at vi har et stort lager med hjerne som vi ikke bruker på en måte det blir jo- alt blir jo brukt i forskjellige steder","0","44"
"jaja men når du tenker på hvor mye kapasitet man egentlig har da","0","44"
"ja men jeg tror ikke man har det når du får sånn- ja men når du får sånn hva heter det sånn eh seizures sånn anfall liksom så er jo det fordi hjernen er for aktivert på en måte eller fordi du gjør for mye med hjernen så du klarer ikke å fungere","0","44"
"haha","0","44"
"ja","1","44"
"jaja","1","44"
"jo men jeg tror liksom det er sånn ja du gjør for mye men at man gjør eh- mye i forhold til hva den er vant til da kanskje jeg vet ikke jeg vet ikke jeg","0","44"
"mm","1","44"
"nei det er rart hvert fall","0","44"
"mm","1","44"
"det er jo det samme som hvor sammensatt kroppen er sånn de som har downs for eksempel da som har ett kromoson for mye","0","44"
"mm","1","44"
"mm","1","44"
"ett bare sånn ett sånn f- eh jeg vet ikke hvor lite det er jeg og så blir man helt annerledes","0","44"
"mm","1","44"
"haha xxx haha ja hvis xxx","0","44"
"kanskje vi kan bytte tema haha ja men det er sy- jeg bare synes det er så fascinerende","0","44"
"ja","1","44"
"nei vi så hva var det da det var- i kollektivet så var det","0","44"
"åh vi så et bilde eller noe sånt eh en gutt med- det var en gutt med downs liksom og faren og jeg bare sånn her nei se han har downs eller jeg sa det ikke sånn da men bare sånn han har downs og jonas bare sånn fordi han satt litt lenger unna men var sånn her du kan ikke bare si det mathias bare fordi det ser sånn ut og jeg bare sånn her ja men han har jo downs det er sånn du kan ikke si at han ikke har det og han bare eh- og jonas bare sånn nei men det kan jo ikke alltid se det og sånn og bare jo du kan jo alltid se det","0","44"
"jaja","1","44"
"neinei","1","44"
"haha","1","44"
"åja","1","44"
"jaja","1","44"
"nei","1","44"
"men det er noen som jeg har sett som har veldig like trekk som de som har det men som ikke har det","1","44"
"eh ja","1","44"
"Louis, haha","0","45"
"Hva studerer du?","0","45"
"Psykologi","0","45"
"Ja, det skjønte jeg, men","0","45"
"Ja","1","45"
"Åja, bachelor, 2. året","0","45"
"Bachelor","0","45"
"Stemmer, ja, jeg er på bachelor 3. året","0","45"
"Mm","1","45"
"Ja","1","45"
"Mm","1","45"
"Så, du holder på å skrive bacheloroppgaven?","0","45"
"Ja, skal i gang med eksperiment i morgen, faktisk","0","45"
"Åja","1","45"
"Om hva?","0","45"
"Om musikk og avslapping. Jeg kan ikke si så mye mer for jeg skal henge opp flyers på- haha","0","45"
"Nei, haha","1","45"
"Å, gøy","1","45"
"Så, hvis du vil være med, så-","0","45"
"Ja, ja, m- je- får man- man får kanskje ikke så mye penger? haha","0","45"
"Eh, vi håper å kunne gi et gavekort på 100 kroner, på Godt Brød","0","45"
"Ja","1","45"
"Ja","1","45"
"xxx","0","45"
"Ja, altså, jeg b-ble sykt imponert hvor mye penger de har her, det er sånn- haha","0","45"
"Ja, 250 kroner liksom, haha Sign me up","0","45"
"Ja, det-","1","45"
"Ja, de har åpenbart ikke fått penger fra psyk fak, haha","0","45"
"Haha, nei","1","45"
"Haha, det xxx","0","45"
"Ja","1","45"
"Nei, eh, ja?","0","45"
"xxx","0","45"
"Har du sett spørsmålene?","0","45"
"Nei","0","45"
"Room mate experience og-","0","45"
"xxx room mate experience xxx you have ever had","0","45"
"Vil du gå først?","0","45"
"Eh, jo ok, faktisk, han som hadde-","0","45"
"Det var forrige leiligheten jeg bodde i da, han som bodde liksom rett ved siden av meg, sånn veldig tynn vegg mellom. En gang så hadde han med seg en jente hjem, eh, og så- nei, nei dette var sånn tidlig på kvelden. Og så, eh, leste han dikt for henne, haha, og, eh, spilte g- sang for henne og spilte gitar. Og jeg va- måtte sitte å høre på dette og, bare sånn. Åh, det var så pinlig. Sånn, eh, hvis noen hadde liksom, begynt å lese dikt for meg, og bare, ja","0","45"
"Ja","1","45"
"Haha","1","45"
"Åja","1","45"
"Haha","1","45"
"Shit","1","45"
"For en klassisk Don Juan, haha","0","45"
"Ja, det xxx, det overrask- eh, overrasket meg ikke at det var han av alle personer, liksom","0","45"
"Haha","0","45"
"Haha","0","45"
"Men, ja, det gjorde ikke at jeg likte ham bedre, vertfall, eh, sånn dritirriterende","0","45"
"Ja","1","45"
"Litt sånn Shakespearian","0","45"
"Ja","1","45"
"Men, det er jo ikke så veldig ille, men det sier kanskje litt om at xxx bodd med ganske greie folk. Egentlig, ja","0","45"
"Egentlig, egentlig","0","45"
"Hva med deg?","0","45"
"Eh, jeg bodde med ei som, hm, var desillusjonert","0","45"
"Åja","1","45"
"Som trodde at jeg gjorde masse ting i kollektivet, som jeg ikke gjorde","0","45"
"Åja","1","45"
"Eh","0","45"
"Hun- En gang så hadde jeg hatt filmkveld med venninner fra psyk fak, og så hadde hun kommet hjem. Og så hadde hun gått rett inn på rommet sitt, og så, dagen etterpå så hadde hun fortalt alle andre i kollektivet at, eh, vi hadde trekant, i fellesarealet","0","45"
"Mm","1","45"
"Haha","1","45"
"Haha","1","45"
"Og, så sa hun, eh, at hun trodde det var meg, en gutt og en jente som hadde sex i fellesarealet. Det sa hun til alle. Så jeg måtte gå i ettertid og forklare at Nei, det hadde ikkje skjedd. Og my- mange andr- det var no- det var n- mest ekstreme, haha. Men hun var helt sikker på at hun hadde sett det.","0","45"
"Ja","1","45"
"Ja","1","45"
"Nei","1","45"
"Ja","1","45"
"Ok, så, det var ikke sånn lystløgner? Hun var bare-","0","45"
"Så det var veldig-","0","45"
"Eh, jeg tror ikke det, nei f-fordi- fordi at hun- når jeg konfronterte henne med det etterpå så sa hun: nei, det var det jeg så","0","45"
"Nei","1","45"
"Mm","1","45"
"Det var flere ting òg, så, det var ganske slitsomt, haha","0","45"
"Ah, Jesus, ja","1","45"
"Det kan jeg skjønne","0","45"
"Ja","1","45"
"Men, stakkaren hadde sikkert problemer, da","0","45"
"Ja, ja. Ja d- ja, det er liksom sånn, skal man synes synd på henne, eller skal man være sur på henne. xxx begge deler","0","45"
"Litt sånn b- begge. Begge, haha. Det var- det var en miks. Haha","0","45"
"Ja","1","45"
"Ja","1","45"
"Ellers har jeg bare hatt bra room mates","0","45"
"Ja","1","45"
"xxx","0","45"
"Eh","0","45"
"verste opplevelse med sjef","0","45"
"Hæ?","0","45"
"Eh","0","45"
"Eh, jeg jobbet på Deli deLuca da jeg var sånn, 16? 17? som je- er bare sånn, ulovlig, at jeg jobbet alene, haha, og solgte tobakk, og sånne ting. Og, eh, jeg skjønte jo ikke at det var ulovlig, da, men han bare sånn utnyttet meg fullstendig, og- fordi jeg h- jeg fikk betalt mindre siden jeg var under 18, ikke sant? Så han sparte bare masse penger på at jeg jobbet alene. Eh, og, og h- og han kastet liksom frikortet mitt i søpla. Det v- sånn da man fortsatt hadde sånn fysisk liksom, og jeg endte opp med å måtte skatte 50% på grunn av han, og liksom, ja, ja, jeg b- det var bare sånn, alt var galt og jeg slutta etter sånn 2 måneder","0","45"
"Mm","1","45"
"Åja , haha","1","45"
"Mm","1","45"
"Haha","1","45"
"Mm","1","45"
"Ja","1","45"
"Kasta han det i søpla? Haha","0","45"
"Haha","1","45"
"Haha","0","45"
"Han var sånn creepy også, liksom sånn bare-","0","45"
"Shady, altså, haha","0","45"
"Ja, det var sånn der, ja vi har litt sånn unge, søte jenter som jobber der, og liksom sånn ew, jeg er 16 xxx","0","45"
"Haha","1","45"
"Unge, søte jenter som jobber der uoffisielt, haha","0","45"
"Ja, sånn, uff, ja","0","45"
"Haha","0","45"
"Ellers har det hatt- vært bra sjefer","0","45"
"Ja, det er ganske ille, da","0","45"
"Ja, xxx","0","45"
"Haha, kasta frikortet ditt i søpla","0","45"
"Ja, der og da så, synes jeg det var helt jævlig, men i ettertid så er det bare sånn what the fuck? Hvorfor holdt jeg ut?","0","45"
"Haha","0","45"
"Haha","0","45"
"Ja","0","45"
"Har du hatt noen dårlige opplevelser?","0","45"
"Eh, nei, jeg har ikke det, jeg har bare hatt gode sjefer, som jeg kan komme på","0","45"
"Nei?","1","45"
"Ja","1","45"
"Eh","0","45"
"Som jeg kan komme på. Ja, mm, egentlig veldig lite interessant å fortelle der","0","45"
"Haha","1","45"
"Ja, er det noe du er veldig, veldig dårlig på?","0","45"
"Eh","0","45"
"Det er det, det er- det er mye som jeg er veldig dårlig på","0","45"
"Mm, haha","1","45"
"Haha, men så er det- så er det å komme på det, da, haha","0","45"
"Bra start","0","45"
"Eh","0","45"
"Men, jeg tenker, jeg v- eller, jeg tror vertfall det er mye jeg er dårlig på","0","45"
"Eh","0","45"
"Komme på ting i farten sånn som det her, det er jeg dårlig på","0","45"
"Ja","1","45"
"Ja","1","45"
"Det er jeg ganske dårlig på, faktisk","0","45"
"Jeg vet ikke, det er liksom ikke noe","0","45"
"Jeg føler at jeg er ikke sånn kjempegod i noen ting, og heller ikke kjempedårlig i noe, jeg er bare sånn middels på sånn, ganske mye","0","45"
"Haha","1","45"
"Gjennomsnittlig?","0","45"
"Ja","0","45"
"Haha, ja det føler jeg òg meg","0","45"
"Eh, dårlig på","0","45"
"Å, jeg er veldig konfliksky, så jeg er veldig dårlig på krangling","0","45"
"Å","1","45"
"Eh","0","45"
"Ja, nei, det har jeg gjort veldig lite. Så det, det blir jeg helt stressa av, og bare sånn, jeg klarer ikke å, klarer ikke å komme på hva jeg skal si eller liksom. Ja, dårlig på krangling","0","45"
"M- d- d- det er ikke det verste det, haha","0","45"
"Nei, men noen ganger, eller når man skal liksom si ifra om noe, så er det jo greit å liksom tørre, og jeg bare blir sånn æh, haha, jeg er kjemperedd, haha","0","45"
"Ja","1","45"
"Ja, det","1","45"
"Folk blir ikke sinte på deg vertfall","0","45"
"Hæ?","0","45"
"Folk blir ikke sinte på deg vertfall, eller, de blir det òg?","0","45"
"Det- det er jeg flinkere på, å få folk til å bli sinte på meg, haha, men det er sånn uavhengig av krangel, da, da er det, ja, andre ting","0","45"
"Haha, ok","1","45"
"Haha","0","45"
"Ja","1","45"
"Mm","1","45"
"Ok, TV-serie","0","45"
"Eh, The strangest thing about where you grew up","0","45"
"Nei, TV-serie","0","45"
"Åja, ok","0","45"
"Recommend two TV-series xxx","0","45"
"Jeg v- aner ikke hva du liker, da","0","45"
"Hæ, nei det, hm","0","45"
"Si en TV-serie som du liker","0","45"
"Ok, eh, Westworld","0","45"
"Oh, ok. Men, åh, eh","0","45"
"Eh, Stranger Things?","0","45"
"Den har jeg sett","0","45"
"Ja?","0","45"
"Men likte- likte du den?","0","45"
"Men- ja, jeg likte det. Likte det","0","45"
"Ja, ok","0","45"
"Jeg antar du òg xxx?","0","45"
"Ja, men egentlig så liker jeg ikke sånne serier, men akkurat de to likte jeg veldig godt","0","45"
"xxx","0","45"
"Ja, s- samme, ja. Men de er jo- de er jo veldig bra- bra laget, da","0","45"
"Ja","1","45"
"Ja, veldig bra","0","45"
"Eh, e- liker du, har du sett Big Little Lies?","0","45"
"Nei","0","45"
"Ok. For den e- den er jo mye mer sånn, v-vanlig dramaserie, men den er også en av de beste jeg har sett noen sinne","0","45"
"Mm","1","45"
"På HBO","0","45"
"Så du rekommanderer den?","0","45"
"Mm","0","45"
"Har du en til?","0","45"
"Hm, ja, eh, Stranger Things","0","45"
"Det var Stranger Things","0","45"
"Ja","1","45"
"Ok, din tur","0","45"
"Eh, ok, har du sett Black Mirror?","0","45"
"Ja","0","45"
"Har du sett Misfits?","0","45"
"Nei, faktisk ikke","0","45"
"xxx","0","45"
"Eh, hvilken stil er det?","0","45"
"Eh, det er- vel, d- f- hvis jeg skal prøve å selge det inn så høres det veldig te-teit ut, som å- som å prøve å selge inn xxx-film, det går liksom ikke uten- men så er det jo veldig bra. Eh, det handler om en gjeng- en gjeng ungdommer som- som, eh, har samfunnstjeneste sammen","0","45"
"Mm","1","45"
"Ok","1","45"
"Ja","1","45"
"Eh, britiske ungdommer, og så får de superkrefter. Men det er ikke en sånn vanlig super- superheltfilm, nei serie, det er liksom sånn normale folk som får en eller annen superheltkraft, så det er ganske originalt konsept. Veldig morsomt. Veldig bra. Veldig kult hvis du, eh, liker psykologi","0","45"
"Haha","1","45"
"Nei","1","45"
"Mm","1","45"
"Ja","1","45"
"Mm","1","45"
"Ja, ok","1","45"
"Hm, hva- hvor kan man se det?","0","45"
"Eh, Pirate Bay?","0","45"
"Ja, ok","0","45"
"Haha, nei jeg vet ikke, kanskje Netflix, jeg vet ikke","0","45"
"Hm","1","45"
"xxx","0","45"
"xxx, Misfits?","0","45"
"Mm","1","45"
"Misfits","0","45"
"Jeg har liksom egentlig- jeg ha- jeg har hørt om det, men jeg har aldri liksom, ikke a-","0","45"
"Det har blitt en sånn cult-serie etterhvert","0","45"
"Ja","1","45"
"Men jeg tror kanskje j- jeg har lest det, mer enn jeg har hørt folk snakke om det. Eh, kanskje derfor jeg ikke har sett det","0","45"
"Ja","1","45"
"Ja","1","45"
"M- ja-og så høres det veldig- det xxx høres ikke så veldig interessant ut når man snakker om det, men så er det veldig kult","0","45"
"Hm, kriminelle ungdommer?","0","45"
"Ja, litt kriminell- kriminelle ungdommer med superkrefter og litt sånn- litt sånn rebellious","0","45"
"Ja","1","45"
"Mm","1","45"
"Mm","1","45"
"Å, en- en TV-serie som er veldig bra, det er en dokumentarserie på Netflix om, eh, jenter som sitter i ungdomsfengsel. Og d- altså jeg- først da jeg så den så var jeg sånn Åja, en dårlig versjon av Orange is the new black, men så var det dokumentar. Og de, eh, altså det er jo veldig interessant sånn psykologi-messig, at de- de er jo- liksom sitter i fengsel, de er liksom 15 år m- rundt der- Eh, men overraskende reflekterte. Bare sånn, alle har hatt d- nesten alle har sånn My daddy ran away when he was, eh, he left when I was two years old, and I started doing drugs when I was 11, ikke sant? At alle- nesten alle har sånn, eh, historie","0","45"
"Misfits","0","45"
"Ja","1","45"
"Åja","1","45"
"Mm","1","45"
"Haha","1","45"
"Mange av de er der sikkert xxx for drugs, da, siden det er, eh, Amerika. Og, jeg mener, e- sy- sa- så hører man jo det at- eh, at- eh, eh, intellektuelle, eh, mennesker gjerne prøver drugs","0","45"
"Jaja","1","45"
"Ja","1","45"
"Ja, men, altså, xxx bare sånn der opprørske, ikke sant? Men, e- je- jeg tror nok mye av det, liksom, smarte de sier kommer fra en psykolog, da. Fordi jeg tipper de er mye i terapi. Fordi de er sånn yeah, I have to work on myself with this liksom, sånn, de er veldig, sånn, konkrete på ting. Så je- det er sånn, jeg føler at de har snakket med en psykolog om noe, eller blir fortalt sånn du har sinneproblemer haha, ikke sant? Men, xxx","0","45"
"Før og- og- og oftere enn- ja","0","45"
"Ja, ok","1","45"
"Ja, ja","1","45"
"Mm","1","45"
"Haha","1","45"
"Skal jeg sjekke ut","0","45"
"Eh","0","45"
"Haha","0","45"
"N- den","0","45"
"Ja","1","45"
"Men hva er det? E- d- ignorer?","0","45"
"Eh","1","45"
"La ham leve?","0","45"
"Ja","1","45"
"Tenker jeg. Keep it","0","45"
"Å","0","45"
"Ja, den var ikke farlig","0","45"
"Nei, den så ikke så skummel ut","0","45"
"Den var litt skumlere","0","45"
"Den, den dreper vi","0","45"
"Ja","1","45"
"Men kanskje han har, eh, litt- eller xxx","0","45"
"Ja","1","45"
"xxx","0","45"
"Ja, d- nei det så ikke ut som den var annerledes","0","45"
"Ok","1","45"
"Nei","0","45"
"Å","0","45"
"Tapped?","0","45"
"Hæ?","0","45"
"Ok, fordi han er grønn","0","45"
"Nei, men den første var grønn","0","45"
"Eh, n- ja, men den- ja den første var grønn, den skulle vi tappa, den her dreper vi. Eller?","0","45"
"Ja, xxx","1","45"
"Nei","0","45"
"Nei","0","45"
"Haha, ok?","0","45"
"Hvordan-","0","45"
"Så den-","0","45"
"Den hadde vi jo i stad","0","45"
"Skal vi-","0","45"
"Den skulle vi ha tapped","0","45"
"Og killed","0","45"
"Og killed?","0","45"
"Nei","0","45"
"What?","0","45"
"Bare tapped","0","45"
"Det må være noe med farg- det må- må være noe med fargen","0","45"
"Den","0","45"
"M-","0","45"
"Og prikkene","0","45"
"Den var snill, da","0","45"
"Hva vil du gjøre med den?","0","45"
"Jeg vet ikke","0","45"
"Skal vi la ham leve?","0","45"
"Ja","1","45"
"vi- vi tester. Eller, nei, tap kanskje","0","45"
"Tap?","0","45"
"Ja","1","45"
"Å","0","45"
"Nei, ignore","0","45"
"Ignore this friendly- ja, ok","0","45"
"(sukk)","0","45"
"Jeg tipper prikkene er tapped","0","45"
"Men han var jo friendly, da","0","45"
"Så-","0","45"
"Ja, så da kan vi bare t-","0","45"
"tappe han?","0","45"
"Ja","1","45"
"Nei!","0","45"
"Fre- ok, friendly aliens","0","45"
"Tap it?","0","45"
"Ja","1","45"
"Yes","0","45"
"Hvordan visste du det? Haha","0","45"
"Eh, fordi han- han e- han er ikke sur","0","45"
"Eh","0","45"
"Han er bare- han er bare oppblåst","0","45"
"Mm","1","45"
"Men han- han er sur, så han- han dreper vi","0","45"
"Der er en sur","0","45"
"xxx","0","45"
"Og tapped","0","45"
"Men han har ikke armene opp","0","45"
"Åja","1","45"
"Ok","1","45"
"Så vi bare dreper han","0","45"
"Å! E- armene opp er tap, ok","0","45"
"Ja","1","45"
"Så han må vi tappe og drepe","0","45"
"Ja","1","45"
"Ja","1","45"
"Yes, nå- nå blir det mye poeng","0","45"
"Jeg t- nå har vi det, nå har vi det, haha","0","45"
"Eh","0","45"
"Drepe, ikke tappe","0","45"
"Ja","1","45"
"Der, ja","0","45"
"Du tok den ganske fort, du","0","45"
"Hm","0","45"
"Bare tappe?","0","45"
"Bare tappe","0","45"
"Mm","1","45"
"Det var ikke noe med fargene, nei. Hm","0","45"
"Nei, det var f- forvirrende, haha","0","45"
"Ja","1","45"
"Drepe og tappe","0","45"
"Nei!","0","45"
"Ånei, ikke si at den har bytta","0","45"
"Eh, hv-","0","45"
"Bare drepe","0","45"
"Bare drepe?","0","45"
"Ja, ok","0","45"
"xxx","0","45"
"Hva skjedde med den-?","0","45"
"Bare tappe?","0","45"
"Eh, ja","0","45"
"Bare drepe?","0","45"
"Ja","1","45"
"What?","0","45"
"Nei","0","45"
"Den var ikke friendly, den?","0","45"
"Tappe?","0","45"
"Ja","0","45"
"Det kan hende du må ha- kanskje det er munnen, ikke øynene","0","45"
"Å, den hadde ikke spots","0","45"
"Skal vi- ?","0","45"
"Æh","0","45"
"Skal vi tappe han?","0","45"
"Ja","1","45"
"Ok","0","45"
"Jeg tror at spots og farge er bare- er for å forvirre","0","45"
"Eh","0","45"
"De er- ja","0","45"
"Den er friendly","0","45"
"Ja, men, nei, men, munnen, da","0","45"
"Men den var xxx","0","45"
"Åja, eh","0","45"
"Ja","1","45"
"Jeg stemmer for xxx","0","45"
"Ja","1","45"
"Ok","0","45"
"Ja","0","45"
"Men noen ganger s-","0","45"
"Ja, kommer den- xxx","0","45"
"Men han er ganske sint","0","45"
"Ja, bare drepe, da?","0","45"
"Nei","0","45"
"Men, jeg skjønner ikke hvorfor den var friendly","0","45"
"Ok, men nå vet vi det. da","0","45"
"Den er xxx","0","45"
"Den er friendly","0","45"
"Ja","0","45"
"Den er også friendly","0","45"
"Tappe og drepe?","0","45"
"Ja","1","45"
"Nei","0","45"
"Hæ?","0","45"
"Den er litt forvirrende","0","45"
"Ah","0","45"
"Den akkura-","0","45"
"Hva med han, da? Bare tappe?","0","45"
"Bare tappe","0","45"
"Det er han og han andre sinte med- med små armer, men-","0","45"
"Tappe og drepe?","0","45"
"Vi prøver det","0","45"
"Ja","0","45"
"Yes","0","45"
"Ok","0","45"
"Fordi noen ganger så er sint bra, og andre ganger så er det m-","0","45"
"Bare tappe","0","45"
"Åh, (sukk)","0","45"
"Ja, og han skulle vi la gå, var det ikke sånn?","0","45"
"Vi kan prøve","0","45"
"Ja, hvorfor det?","0","45"
"Nei, jeg vet ikke, men jeg bare huska det fra sist gang, så","0","45"
"Å, samme igjen?","0","45"
"Kanskje det er sånn bare hukommelses-game","0","45"
"Ja","1","45"
"Åh, ja","0","45"
"Ford- de- de andre andre tingene har jo ikke gitt mening de heller, sånn, hm, med det- de historiene og sånn","0","45"
"Nei","1","45"
"Nå er det xxx poeng","0","45"
"Haha","0","45"
"Friendly?","0","45"
"Eh","0","45"
"Jeg tror kanskje den ikke er det","0","45"
"Ah, damnit","0","45"
"For den hadde prikker. Det var ikke den- den var ikke-","0","45"
"Sorry, haha","0","45"
"Hva- hva var annerledes med den?","0","45"
"Den hadde prikkene","0","45"
"Ok, så prikkene?","0","45"
"Ja","0","45"
"Ja","1","45"
"Begge?","0","45"
"Begge? Er du sikker? Den hadde ikke prikker","0","45"
"Ja","1","45"
"Ja","1","45"
"Åja","0","45"
"Tap","0","45"
"Så, prikker og sint","0","45"
"Prikkene","0","45"
"Ja, good job","0","45"
"Så den, priker, sint, drepe","0","45"
"Ja","1","45"
"Ja","1","45"
"Så hvis den bare er sint, så g- går det greit","0","45"
"Drepe?","0","45"
"Drepe","0","45"
"Kill","0","45"
"Haha, ok, nå har vi det","0","45"
"Mm","1","45"
"Leve?","0","45"
"Eh","0","45"
"Ingen prikker","0","45"
"Ingen prikker, nei","0","45"
"Mm","0","45"
"Hm","0","45"
"Ja","0","45"
"Leve?","0","45"
"Ja","1","45"
"tappe","0","45"
"Tap and kill","0","45"
"Tap and kill","0","45"
"Ganske brutalt, eh","0","45"
"(gjesp) ja","0","45"
"Eh, kill","0","45"
"tap","0","45"
"Mm","1","45"
"Ja","0","45"
"Hm, tap?","0","45"
"Mm","1","45"
"Tap, sant?","0","45"
"Friend","0","45"
"Kill","0","45"
"Kill","0","45"
"Tap and kill","0","45"
"Ja","1","45"
"Ja","0","45"
"Hm","0","45"
"Mm, tap","0","45"
"Bare tap","0","45"
"Mm","1","45"
"Mm","0","45"
"Tap? Nei, begge?","0","45"
"Eh","0","45"
"Ja","1","45"
"Nei, nei, nei, han hadde ikke prikker","0","45"
"Nei, han hadde ikke prikker","0","45"
